cliente_id,cliente_nome,cliente_email
1,UlYYUSUvEkZuBge,aEiqtolxpw@mail.com
2,KUrZsZdHaPiGYKX,GOPKhizOYm@mail.com
3,TrOhPHovJSbKbuh,oCrLUgXppg@mail.com
4,jjRzfKuXyAsFRZg,fWKJnrQpBc@mail.com
5,OvWZbnABWsiBVfV,gKoouqPLNu@mail.com
6,sUckSausKOTTgEq,FSJmJrPzqr@mail.com
7,TOHgMXuEhElkLJx,mdvhVBFxSA@mail.com
8,YOMRxVqClKRxvtR,yXgNulLeqD@mail.com
9,HSeQfsrdCALkCgR,lYboypueCR@mail.com
10,alIOhAsGtbqabSQ,ahcrMvrMAm@mail.com
11,SamaRLqmwDchHTM,bCpExundYR@mail.com
12,DjMNABxlvookhtD,DzTHjvboFr@mail.com
13,SWneVsyCvnSsWIx,qYgAqALUEy@mail.com
14,qMHNyRkbyqLaeMh,jhVeKtIetb@mail.com
15,QzeZbfCbZjIeERN,eJZgQzWDyh@mail.com
16,JzbqBffSLhHWZMb,IEchsoabLI@mail.com
17,LedZmmWhKhdacsO,fePiGpqDpu@mail.com
18,xitVPVHNxTBJVIR,LGNGxIqjPY@mail.com
19,zZTtAkurfyrCCYw,iLDMIfAYXf@mail.com
20,wQxOhRARnZRgSQQ,WqFljiYevY@mail.com
21,jAKjnlSxJGPakAu,iSKDMsPqGb@mail.com
22,tDfOqtoFbKpbBxa,zKYtgRjfuz@mail.com
23,UAlWjPYjLhXJact,ZMTzpopAyG@mail.com
24,JqBckXZrkdxZMAI,lqJfkSqcmF@mail.com
25,EaMVCNbgeSbqiHA,mzsWBBFmmJ@mail.com
26,QBtTlreWKUcIcIM,lsiIbVzIIS@mail.com
27,anoBrGEPGwgcGpl,XBHUFsRFLw@mail.com
28,EQxSlgReQvJruDy,RTnzJThxiL@mail.com
29,lpyfWzEZcqDaMDJ,UGZMqUXCWU@mail.com
30,hvSCLQbapNXFHdR,kCHPkaujDf@mail.com
31,GwEStpfeqOnipJh,SDGddVddde@mail.com
32,BwokmtWNtytXbkw,FGQyYMUprR@mail.com
33,yASSQyKoJRTkBpv,vlBwxLRJHS@mail.com
34,JOSRPVapxVcLzoE,ZiqVHqmqoR@mail.com
35,VegfOHiEyPBSWsE,UvIBomNvme@mail.com
36,SICfHkReAqvWACH,gdKkCPbIwb@mail.com
37,tJGcrthKLaruVdW,QVbqRariLM@mail.com
38,OsTPjziaCjMfeLy,hVVoTnWGJL@mail.com
39,fuZLjGtojvBEydP,DNjGPEgxAv@mail.com
40,HfOHAwvnInFIhSG,hPLjdGmcIA@mail.com
41,EGsLFlhmBxLxsjr,TBZaAzSSqK@mail.com
42,OFFUIeTHwEbRisn,JYiNrLpvvG@mail.com
43,ZujpXkRqJawEYMe,ExBxPDtBKt@mail.com
44,KymXHlKPcFXQNue,QjNqkUHTVq@mail.com
45,iQwAxdWIUAYKcRt,PMVBDxpPkN@mail.com
46,rSwDgFrqQeKFKpd,arzmNPTHDU@mail.com
47,ZHdMKEIBzOLvUXL,VhYAyyUIWr@mail.com
48,JPPAixTPJjDlFpr,eNqSQEUbpZ@mail.com
49,UsJiTUJTFtuvFjD,asekgtabKN@mail.com
50,ArTKRagKXODSvNE,axeNaZvWwN@mail.com
